#SN, zhelio, MJD, epoch, at_max_flag
sn2006dm 0.02202 53949.394 20.440 0
sn2003hv 0.00560 52914.472 25.730 0
sn2002er 0.00910 52586.000 60.640 0
sn2004cv 0.03675 53197.317 nan 0
sn2003fa 0.04040 52797.426 -8.150 0
sn2007co 0.02700 54265.468 0.850 1
sn2006dy 0.00768 53949.225 nan 0
sn2002ec 0.04088 52495.271 nan 0
sn2005bc 0.01210 53471.466 1.550 1
sn2001ib 0.01900 52254.277 nan 0
sn2008r3 0.02310 54679.208 nan 0
sn2001ep 0.01300 52228.428 28.460 0
sn2007fs 0.01730 54348.306 51.130 0
sn2007fr 0.05100 54301.287 -1.250 0
sn2001gc 0.01930 52288.000 43.270 0
sn1994B 0.08900 49371.506 nan 0
sn2001bf 0.01560 52117.372 72.060 0
sn1994U 0.00375 49546.227 nan 0
sn2002bo 0.00430 52413.191 56.700 0
sn2007fb 0.01800 54333.274 45.950 0
sn2007if 0.07420 54388.393 37.230 0
sn2004ey 0.01579 53356.103 51.390 0
sn1998dk 0.01330 51049.518 -7.240 0
sn2001bg 0.00720 52054.000 13.700 0
sn2000cx 0.00810 51899.173 145.520 0
sn2002ha 0.01440 52586.000 4.930 0
sn2008ee 0.01338 54716.342 nan 0
sn2001eh 0.03710 52164.399 -4.530 0
sn1999bh 0.01720 51292.352 nan 0
sn2007bm 0.00621 54244.199 19.960 0
sn2006bu 0.08100 53860.325 4.220 0
sn1993aj 0.07760 49359.523 nan 0
sn2007gi 0.00482 54326.173 -0.350 0
sn2004dt 0.01973 53272.400 31.770 0
sn2007ax 0.00686 54200.281 14.930 0
sn2005eq 0.02898 53654.376 0.660 1
sn2002bo 0.00430 52372.311 15.990 0
sn1999cw 0.01240 51438.328 83.790 0
sn2007E 0.02261 54113.213 nan 0
sn2005hk 0.01300 53708.302 23.400 0
sn2008hj 0.03789 54831.156 nan 0
sn2007fb 0.01800 54288.486 1.950 0
sn2006te 0.03150 54121.393 24.220 0
sn2003kf 0.00740 52972.548 -7.500 0
sn1999ac 0.00950 51249.466 -0.890 1
sn2002hu 0.03740 52586.000 -5.810 0
sn2005dm 0.01684 53615.420 5.230 0
sn2006cs 0.02340 53891.335 2.280 0
sn1995al 0.00510 50068.440 39.060 0
sn1994D 0.00290 49426.000 -6.320 0
sn2003ay 0.07300 52698.000 nan 0
sn2004fu 0.00920 53323.000 -2.650 1
sn2003fa 0.04040 52827.379 20.670 0
sn2007af 0.00546 54172.545 -1.250 1
sn2005bu 0.02920 53501.239 nan 0
sn2007af 0.00546 54177.633 3.810 0
sn2008ge 0.00392 54766.505 nan 0
sn2002bs 0.00990 52372.341 nan 0
sn2007kd 0.02420 54415.652 nan 0
sn1999cw 0.01240 51459.369 104.580 0
sn1998dk 0.01330 51077.287 20.170 0
sn2006dv 0.03300 53941.611 nan 0
sn2008s1 0.02210 54616.000 4.400 0
sn1994D 0.00290 49429.000 -3.330 0
sn2001C 0.01090 51932.296 nan 0
sn2005na 0.02632 53758.255 17.490 0
sn1994D 0.00290 49547.232 114.730 0
sn2002he 0.02460 52589.000 3.220 0
sn2005bl 0.02406 53501.402 18.070 0
sn2007fc 0.03370 54301.475 nan 0
sn2006dy 0.00768 53943.191 nan 0
sn2007S 0.01388 54149.375 5.180 0
sn2007bm 0.00621 54216.278 -7.790 0
